# nr  root
5.000 63.400
3.000 63.540
14.000 63.560
1.000 63.590
24.000 63.720
19.000 63.980
12.000 64.030
27.000 64.220
10.000 64.420
17.000 64.450
22.000 64.510
8.000 64.750
6.000 64.900
15.000 65.010
4.000 65.040
25.000 65.090
2.000 65.180
20.000 65.220
0.000 65.270
28.000 65.310
13.000 65.490
31.000 65.500
31.000 65.590
31.000 65.660
18.000 65.880
23.000 65.900
11.000 65.910
9.000 66.090
26.000 66.230
7.000 66.400
16.000 66.450
5.000 66.540
21.000 66.630
3.000 66.680
1.000 66.730
14.000 66.960
24.000 67.070
19.000 67.120
12.000 67.170
10.000 67.570
27.000 67.600
17.000 67.750
22.000 67.850
8.000 67.900
6.000 68.040
15.000 68.150
4.000 68.180
2.000 68.320
0.000 68.410
25.000 68.460
20.000 68.540
13.000 68.640
28.000 68.840
18.000 69.020
11.000 69.050
31.000 69.080
23.000 69.250
9.000 69.400
7.000 69.540
16.000 69.590
26.000 69.610
5.000 69.680
21.000 69.770
3.000 69.820
1.000 69.880
14.000 70.100
24.000 70.440
19.000 70.450
12.000 70.530
10.000 70.710
27.000 70.980
17.000 71.040
8.000 71.040
22.000 71.180
6.000 71.180
4.000 71.320
2.000 71.470
0.000 71.550
15.000 71.560
13.000 71.780
25.000 71.830
20.000 71.880
11.000 72.190
18.000 72.320
28.000 72.360
31.000 72.500
9.000 72.540
23.000 72.590
7.000 72.680
5.000 72.820
16.000 72.880
3.000 72.970
26.000 72.980
1.000 73.020
21.000 73.100
14.000 73.240
12.000 73.670
19.000 73.760
24.000 73.790
10.000 74.040
17.000 74.180
8.000 74.180
6.000 74.320
27.000 74.360
4.000 74.460
22.000 74.520
2.000 74.610
0.000 74.690
15.000 74.700
20.000 75.020
13.000 75.150
25.000 75.190
11.000 75.330
18.000 75.630
9.000 75.680
23.000 75.740
28.000 75.750
7.000 75.820
5.000 75.960
31.000 76.070
3.000 76.110
1.000 76.160
16.000 76.170
26.000 76.360
14.000 76.380
21.000 76.450
12.000 76.810
19.000 77.070
24.000 77.150
10.000 77.180
8.000 77.320
6.000 77.460
17.000 77.470
4.000 77.610
22.000 77.660
27.000 77.750
2.000 77.750
0.000 77.830
15.000 77.850
13.000 78.290
20.000 78.340
11.000 78.470
25.000 78.560
18.000 78.770
9.000 78.820
7.000 78.960
28.000 79.000
23.000 79.080
5.000 79.110
3.000 79.250
1.000 79.300
16.000 79.310
31.000 79.480
21.000 79.590
26.000 79.730
14.000 79.770
12.000 79.950
19.000 80.210
10.000 80.320
8.000 80.460
24.000 80.500
6.000 80.600
4.000 80.750
17.000 80.770
2.000 80.890
0.000 80.970
15.000 80.990
22.000 81.020
22.000 81.070
27.000 81.130
13.000 81.430
20.000 81.640
20.000 81.660
25.000 81.700
11.000 81.820
9.000 81.960
18.000 82.070
7.000 82.100
5.000 82.250
28.000 82.290
23.000 82.320
3.000 82.390
1.000 82.440
16.000 82.450
31.000 82.900
21.000 82.920
14.000 82.920
21.000 83.020
12.000 83.100
26.000 83.110
19.000 83.360
10.000 83.460
19.000 83.490
8.000 83.600
6.000 83.750
4.000 83.890
17.000 83.910
2.000 84.030
0.000 84.120
15.000 84.260
22.000 84.310
27.000 84.390
13.000 84.580
20.000 84.870
11.000 84.960
9.000 85.100
7.000 85.250
18.000 85.340
18.000 85.380
5.000 85.390
3.000 85.530
1.000 85.580
23.000 85.590
16.000 85.590
23.000 85.610
28.000 85.680
14.000 86.060
21.000 86.160
31.000 86.180
12.000 86.460
10.000 86.600
19.000 86.720
8.000 86.750
24.000 86.890
6.000 86.890
24.000 87.010
4.000 87.030
17.000 87.060
2.000 87.170
0.000 87.260
15.000 87.540
22.000 87.660
13.000 87.720
20.000 88.010
11.000 88.100
9.000 88.240
7.000 88.390
25.000 88.440
25.000 88.440
5.000 88.530
18.000 88.560
3.000 88.670
1.000 88.730
16.000 88.880
23.000 88.960
14.000 89.200
21.000 89.500
12.000 89.600
31.000 89.610
10.000 89.740
26.000 89.760
19.000 89.860
8.000 89.890
6.000 90.030
24.000 90.160
4.000 90.170
17.000 90.200
24.000 90.260
2.000 90.320
17.000 90.330
0.000 90.400
15.000 90.680
22.000 90.800
13.000 90.860
27.000 91.070
11.000 91.240
20.000 91.330
9.000 91.390
7.000 91.530
25.000 91.570
25.000 91.580
5.000 91.670
18.000 91.700
3.000 91.810
1.000 91.870
23.000 92.100
16.000 92.160
28.000 92.210
28.000 92.340
14.000 92.340
21.000 92.640
12.000 92.740
26.000 92.830
10.000 92.890
26.000 92.900
26.000 93.010
8.000 93.030
31.000 93.050
31.000 93.070
19.000 93.150
19.000 93.170
6.000 93.170
4.000 93.310
24.000 93.400
17.000 93.430
2.000 93.460
24.000 93.520
0.000 93.540
17.000 93.550
15.000 93.820
15.000 93.880
22.000 93.940
22.000 94.080
13.000 94.080
27.000 94.210
13.000 94.240
27.000 94.380
11.000 94.380
20.000 94.390
20.000 94.480
9.000 94.530
7.000 94.670
25.000 94.780
5.000 94.810
18.000 94.920
3.000 94.960
1.000 95.010
18.000 95.010
16.000 95.300
16.000 95.310
16.000 95.330
14.000 95.480
23.000 95.500
14.000 95.530
28.000 95.600
28.000 95.740
12.000 95.880
21.000 95.890
10.000 96.030
26.000 96.100
26.000 96.150
8.000 96.170
31.000 96.290
31.000 96.300
6.000 96.310
31.000 96.370
19.000 96.400
4.000 96.460
2.000 96.600
0.000 96.680
17.000 96.720
24.000 96.740
15.000 96.920
15.000 96.960
22.000 97.250
22.000 97.260
13.000 97.380
13.000 97.410
11.000 97.520
11.000 97.530
27.000 97.590
27.000 97.590
20.000 97.640
27.000 97.660
9.000 97.670
7.000 97.810
9.000 97.840
5.000 97.960
7.000 97.990
3.000 98.100
18.000 98.140
25.000 98.150
1.000 98.150
25.000 98.240
16.000 98.450
23.000 98.510
23.000 98.630
14.000 98.750
14.000 98.770
28.000 98.850
28.000 98.880
12.000 99.010
12.000 99.030
21.000 99.050
21.000 99.070
10.000 99.170
10.000 99.290
8.000 99.310
26.000 99.370
8.000 99.370
6.000 99.450
19.000 99.590
6.000 99.600
4.000 99.600
31.000 99.660
2.000 99.740
0.000 99.820
17.000 99.860
24.000 99.910
